,date,hr,weather,temperature,feels_like_temperature,relative_humidity,windspeed,psi,guest_scooter,registered_scooter
68,2011-03-01,13,clear,73.5,102.2,39.0,0.0,41,41,460
69,2011-02-08,18,clear,63.3,82.4,32.0,26.0,47,4,1061
70,2011-07-02,15,clear,119.2,147.2,19.0,11.0,8,505,1146
71,2011-11-04,1,cloudy,80.2,109.4,82.0,0.0,34,3,113
72,2011-06-14,11,clear,100.5,134.6,41.0,19.0,20,119,719
73,2011-05-23,21,clear,100.5,129.2,89.0,15.0,45,101,1088
74,2011-08-26,12,cloudy,110.7,147.2,66.0,7.0,12,210,1216
75,2011-10-09,6,clear,83.6,113.0,88.0,0.0,2,22,103
76,2011-07-12,4,clear,105.6,140.0,79.0,11.0,45,-1,47
77,2011-04-25,19,clear,102.2,134.6,57.0,22.0,26,188,2240
78,2011-07-22,1,clear,114.1,154.4,63.0,0.0,8,21,118
79,2011-06-20,8,light snow/rain,93.8,123.8,83.0,13.0,3,38,1462
80,2011-01-16,17,clear,65.0,86.0,37.0,17.0,7,69,572
81,2011-07-21,12,clear,120.8,167.0,56.0,22.0,12,85,746
82,2011-04-29,11,clar,97.2,134.6,38.0,15.0,22,146,757
83,2011-08-27,4,cloudy,105.6,140.0,84.0,15.0,9,3,20
84,2011-03-22,15,clear,88.7,118.4,42.0,15.0,7,166,554
85,2011-01-10,16,clear,63.3,86.0,40.0,9.0,21,10,494
86,2011-10-06,16,clear,95.5,125.6,49.0,13.0,39,155,1902
87,2011-04-23,10,cloudy,81.9,111.2,88.0,15.0,20,109,653
88,2011-10-03,3,lear,76.9,105.8,81.0,0.0,14,2,41
89,2011-12-28,6,clear,73.5,96.8,57.0,17.0,48,4,294
90,2011-08-29,8,clear,98.9,134.6,57.0,17.0,12,61,2691
91,2011-04-23,18,clear,95.5,125.6,78.0,13.0,32,446,1594
92,2011-12-20,14,cloudy,83.6,113.0,58.0,7.0,34,32,892
93,2011-12-03,23,clear,71.8,96.8,70.0,9.0,43,37,511
94,2011-11-11,5,clear,71.8,95.0,49.0,17.0,23,-1,91
95,2011-11-14,1,clear,85.3,114.8,63.0,20.0,43,13,40
96,2011-04-11,0,clear,87.0,116.6,88.0,22.0,7,20,117
97,2011-11-27,0,clear,76.9,105.8,81.0,0.0,35,20,276
98,2011-05-10,20,clear,92.1,122.0,60.0,9.0,18,149,1692
99,2011-08-27,1,clear,105.6,140.0,84.0,11.0,25,41,359
100,2011-07-25,14,cloudy,107.3,143.6,79.0,13.0,13,85,438
101,2011-04-23,5,light snow/rain,75.2,104.0,100.0,0.0,29,2,47
102,2011-10-21,9,cloudy,81.9,111.2,58.0,9.0,16,98,1327
103,2011-02-02,10,cloudy,65.0,93.2,100.0,0.0,21,5,414
104,2011-03-15,4,clear,66.7,91.4,75.0,6.0,28,2,12
105,2011-03-31,12,light snow/rain,70.1,93.2,93.0,13.0,37,52,515
106,2011-11-25,23,clear,75.2,102.2,76.0,7.0,40,14,197
107,2011-03-23,10,cloudy,75.2,98.6,81.0,19.0,44,47,421
108,2011-01-25,17,clear,71.8,100.4,45.0,0.0,1,40,1456
109,2011-03-30,18,cloudy,68.4,91.4,93.0,15.0,2,20,552
110,2011-07-29,2,clear,109.0,145.4,79.0,0.0,20,11,71
111,2011-06-07,2,clear,97.2,131.0,73.0,6.0,25,11,17
112,2011-04-20,16,cloudy,110.7,140.0,35.0,24.0,11,161,1408
113,2011-04-15,12,clear,90.4,120.2,55.0,19.0,13,136,1088
114,2011-04-14,13,clear,93.8,123.8,37.0,15.0,23,116,851
115,2011-06-24,2,clear,102.2,132.8,83.0,22.0,29,12,75
116,2011-06-04,20,cloudy,105.6,138.2,48.0,6.0,18,272,1043
117,2011-01-30,4,clear,58.2,86.0,93.0,0.0,49,-2,8
118,2011-07-19,9,cloudy,114.1,154.4,63.0,9.0,35,67,1237
119,2011-09-11,10,clear,105.6,138.2,65.0,0.0,14,361,1498
120,2011-03-30,17,light snow/rain,68.4,93.2,93.0,7.0,39,32,735
121,2011-02-19,13,clear,83.6,113.0,16.0,41.0,23,154,725
122,2011-02-10,4,loudy,58.2,77.0,59.0,15.0,50,1,11
123,2011-12-20,15,cloudy,83.6,113.0,54.0,0.0,28,47,971
124,2011-02-12,20,clear,68.4,91.4,41.0,15.0,35,2,275
125,2011-08-18,17,light snow/rain,114.1,147.2,46.0,20.0,30,130,2556
126,2011-02-10,13,clear,61.6,80.6,29.0,20.0,46,11,413
127,2011-01-28,13,light snow/rain,61.6,86.0,93.0,7.0,28,-2,215
128,2011-06-15,8,clear,95.5,125.6,53.0,9.0,38,158,3120
129,2011-10-13,5,cloudy,92.1,122.0,100.0,7.0,50,4,115
130,2011-11-21,8,cloudy,85.3,114.8,94.0,0.0,39,37,2649
131,2011-10-10,0,clear,88.7,118.4,94.0,0.0,45,33,297
132,2011-12-21,13,light snow/rain,83.6,113.0,94.0,20.0,26,11,383
133,2011-07-23,16,clear,125.9,165.2,38.0,9.0,43,211,1059
134,2011-11-25,5,clear,70.1,98.6,75.0,0.0,46,7,19
135,2011-06-13,12,clear,102.2,134.6,41.0,19.0,30,105,1132
136,2011-02-23,22,clear,66.7,95.0,48.0,0.0,35,1,418
137,2011-02-22,22,clear,59.9,78.8,43.0,17.0,46,1,530
138,2011-02-08,13,cloudy,66.7,84.2,32.0,30.0,4,4,340
139,2011-08-11,20,clear,107.3,138.2,37.0,9.0,46,169,1627
140,2011-07-15,15,clear,107.3,138.2,45.0,11.0,10,220,1141
141,2011-06-21,10,CLOUDY,100.5,129.2,83.0,13.0,1,124,840
142,2011-05-19,7,cloudy,88.7,118.4,100.0,0.0,50,55,1675
143,2011-01-15,3,cloudy,59.9,87.8,59.0,0.0,45,5,48
144,2011-02-05,11,light snow/rain,65.0,87.8,100.0,9.0,39,4,320
145,2011-02-05,8,light snow/rain,63.3,87.8,100.0,6.0,4,1,70
146,2011-09-24,9,cloudy,97.2,125.6,88.0,6.0,22,121,939
147,2011-06-20,18,clear,105.6,138.2,61.0,17.0,22,193,3317
148,2011-02-04,1,cloudy,59.9,87.8,59.0,0.0,4,0,52
149,2011-08-21,19,clear,107.3,141.8,70.0,17.0,40,241,1407
150,2011-09-10,20,clear,102.2,134.6,69.0,7.0,31,233,1167
151,2011-06-13,16,clear,105.6,136.4,37.0,28.0,13,193,1836
152,2011-11-12,0,clear,66.7,89.6,60.0,9.0,12,38,368
153,2011-05-29,20,clear,105.6,140.0,79.0,13.0,37,271,901
154,2011-02-11,7,clear,53.2,80.6,73.0,0.0,18,5,510
155,2011-02-25,12,light snow/rain,92.1,122.0,60.0,31.0,49,59,667
156,2011-05-23,19,clear,105.6,140.0,74.0,15.0,48,168,2117
157,2011-12-08,22,clear,68.4,93.2,65.0,9.0,9,26,591
158,2011-10-18,23,cloudy,90.4,120.2,77.0,13.0,30,23,441
159,2011-10-07,8,clear,85.3,114.8,82.0,0.0,32,92,2704
160,2011-08-31,4,clear,93.8,123.8,73.0,0.0,6,-2,37
161,2011-10-30,16,clear,81.9,111.2,32.0,9.0,17,321,1493
162,2011-05-01,11,clear,85.3,114.8,82.0,7.0,38,326,988
163,2011-02-21,16,light snow/rain,70.1,89.6,75.0,28.0,21,23,335
164,2011-12-17,20,clear,65.0,86.0,69.0,17.0,36,23,692
165,2011-12-01,16,clear,80.2,109.4,40.0,13.0,28,26,1347
166,2011-03-09,10,cloudy,71.8,95.0,75.0,17.0,6,22,343
167,2011-04-19,21,cloudy,88.7,118.4,72.0,9.0,11,25,800
168,2011-04-22,6,clear,75.2,98.6,53.0,19.0,10,8,327
169,2011-05-26,0,clear,100.5,132.8,73.0,9.0,24,35,239
170,2011-04-05,2,cloudy,92.1,122.0,73.0,22.0,36,0,36
171,2011-11-02,16,clear,87.0,116.6,51.0,7.0,24,107,1622
172,2011-07-13,8,clear,114.1,149.0,49.0,17.0,29,93,2930
173,2011-04-26,6,clear,93.8,123.8,88.0,15.0,0,0,562
174,2011-06-25,8,clear,105.6,138.2,48.0,17.0,31,79,594
175,2011-06-18,14,cloudy,114.1,147.2,46.0,19.0,42,412,1376
176,2011-11-15,4,clear,93.8,123.8,64.0,20.0,41,3,42
177,2011-02-26,9,cloudy,68.4,91.4,56.0,11.0,16,26,453
178,2011-09-14,18,clear,107.3,141.8,62.0,11.0,6,251,3523
179,2011-11-27,14,CLEAR,98.9,134.6,43.0,31.0,42,339,1402
180,2011-04-20,0,clear,83.6,113.0,88.0,9.0,17,10,202
181,2011-03-17,9,clear,80.2,109.4,62.0,17.0,15,69,1133
182,2011-12-26,9,lear,75.2,96.8,46.0,20.0,5,71,268
183,2011-09-03,16,clear,107.3,141.8,70.0,13.0,23,560,1318
184,2011-12-04,12,CLEAR,76.9,102.2,81.0,11.0,21,245,1732
185,2011-07-30,4,clear,107.3,141.8,66.0,11.0,13,13,43
186,2011-04-10,20,clear,85.3,114.8,82.0,9.0,44,63,502
187,2011-07-07,8,cloudy,105.6,140.0,79.0,13.0,15,82,2909
188,2011-07-16,18,clear,110.7,141.8,45.0,19.0,28,557,1700
189,2011-06-11,1,clear,105.6,140.0,79.0,6.0,17,28,467
190,2011-01-09,7,clear,53.2,71.6,53.0,13.0,35,5,34
191,2011-10-07,5,clear,81.9,111.2,82.0,0.0,18,7,169
192,2011-04-07,3,clear,76.9,102.2,66.0,13.0,24,2,21
193,2011-03-17,4,clear,75.2,100.4,71.0,13.0,38,0,21
194,2011-04-24,16,clear,109.0,140.0,48.0,26.0,34,484,1381
195,2011-03-06,0,cloudy,81.9,111.2,77.0,24.0,16,32,292
196,2011-04-29,21,clear,85.3,114.8,51.0,13.0,23,152,1016
197,2011-12-08,10,clear,68.4,87.8,52.0,22.0,13,5,766
198,2011-06-23,19,clear,107.3,141.8,70.0,24.0,25,166,2407
199,2011-10-01,0,clear,88.7,118.4,63.0,26.0,45,73,743
200,2011-03-07,21,clear,70.1,93.2,38.0,15.0,27,4,374
201,2011-12-27,8,cloudy,71.8,96.8,65.0,11.0,36,26,1090
202,2011-08-15,10,clear,103.9,136.4,69.0,19.0,40,163,610
203,2011-02-21,17,cloudy,70.1,91.4,75.0,26.0,17,53,435
204,2011-05-13,12,cloudy,90.4,120.2,88.0,13.0,7,161,1190
205,2011-09-07,17,light snow/rain,100.5,129.2,89.0,0.0,37,62,1850
206,2011-07-28,12,clear,117.5,156.2,53.0,17.0,34,104,1057
207,2011-12-20,11,cloudy,80.2,109.4,62.0,11.0,47,37,810
208,2011-09-10,0,clear,98.9,125.6,94.0,0.0,39,97,593
209,2011-11-30,21,clear,73.5,95.0,53.0,26.0,30,19,899
210,2011-05-30,3,CLEAR,100.5,127.4,94.0,13.0,28,29,54
211,2011-06-17,11,CLEAR,103.9,136.4,69.0,17.0,33,129,966
212,2011-09-14,16,clear,110.7,143.6,52.0,19.0,28,108,1686
213,2011-02-14,16,clear,90.4,120.2,27.0,31.0,29,46,716
214,2011-12-12,15,cloudy,73.5,100.4,57.0,7.0,37,23,869
215,2011-03-10,20,light snow/rain,76.9,100.4,0.0,22.0,43,29,203
216,2011-07-20,16,clear,117.5,158.0,56.0,0.0,24,91,1432
217,2011-02-12,5,lear,56.6,80.6,74.0,6.0,28,1,12
218,2011-03-03,20,clear,63.3,87.8,40.0,6.0,8,5,483
219,2011-01-21,12,clear,65.0,82.4,27.0,39.0,4,33,467
220,2011-09-11,20,clear,98.9,131.0,73.0,7.0,3,193,1132
221,2011-03-25,10,clear,68.4,91.4,48.0,0.0,10,46,376
222,2011-10-18,4,cloudy,83.6,113.0,94.0,7.0,34,-2,26
223,2011-06-02,8,clear,105.6,136.4,32.0,20.0,49,73,3093
224,2011-07-16,14,clear,109.0,140.0,45.0,20.0,4,604,1625
225,2011-01-17,23,light snow/rain,59.9,77.0,86.0,19.0,33,5,26
226,2011-12-29,4,clear,63.3,86.0,55.0,11.0,1,2,18
227,2011-03-12,16,clear,85.3,114.8,41.0,30.0,9,301,1012
228,2011-03-24,5,cloudy,70.1,93.2,93.0,15.0,21,4,58
229,2011-07-02,19,clear,114.1,143.6,33.0,15.0,35,469,1048
230,2011-04-11,20,clear,103.9,136.4,57.0,35.0,23,130,853
231,2011-10-18,11,cloudy,97.2,134.6,49.0,7.0,50,104,786
232,2011-02-15,23,cloudy,65.0,91.4,44.0,6.0,49,1,138
233,2011-02-19,8,clear,78.5,107.6,17.0,39.0,29,25,255
234,2011-03-13,12,clear,85.3,114.8,38.0,26.0,1,220,840
235,2011-07-31,22,clear,109.0,143.6,70.0,20.0,50,74,495
236,2011-07-30,0,clear,110.7,143.6,55.0,13.0,39,178,509
237,2011-03-24,1,cloudy,71.8,95.0,100.0,15.0,31,1,24
238,2011-07-25,7,cloudy,109.0,145.4,79.0,0.0,6,62,1800
239,2011-08-03,0,cloudy,114.1,149.0,49.0,11.0,46,33,227
240,2011-11-09,10,clear,80.2,109.4,76.0,7.0,42,49,623
241,2011-05-29,2,clear,98.9,127.4,88.0,7.0,9,34,342
242,2011-04-23,4,light snow/rain,75.2,104.0,100.0,0.0,42,4,22
243,2011-01-25,8,cloudy,59.9,82.4,74.0,9.0,12,17,1636
244,2011-08-12,20,clear,107.3,138.2,42.0,15.0,13,231,1470
245,2011-06-27,0,light snow/rain,100.5,132.8,73.0,19.0,23,21,178
246,2011-05-27,12,cloudy,110.7,143.6,55.0,20.0,36,159,1331
247,2011-02-13,7,cloudy,65.0,93.2,55.0,0.0,2,-2,23
248,2011-10-16,2,clear,81.9,111.2,54.0,9.0,4,38,365
249,2011-07-28,8,clear,109.0,143.6,66.0,11.0,39,142,2861
250,2011-08-23,23,clear,98.9,132.8,61.0,9.0,8,58,425
251,2011-02-13,1,clear,63.3,87.8,59.0,6.0,23,1,165
252,2011-09-02,6,lear,97.2,127.4,83.0,9.0,46,11,511
253,2011-08-13,15,light snow/rain,103.9,136.4,79.0,24.0,33,448,1461
254,2011-09-02,1,light snow/rain,98.9,131.0,73.0,7.0,47,11,196
255,2011-04-30,15,clear,93.8,123.8,37.0,9.0,50,650,1977
256,2011-01-24,20,clear,58.2,77.0,59.0,13.0,33,4,563
257,2011-12-26,20,clear,71.8,98.6,56.0,6.0,9,43,297
258,2011-01-02,15,light snow/rain,75.2,100.4,81.0,11.0,44,58,383
259,2011-10-10,1,clear,87.0,116.6,88.0,0.0,21,13,208
260,2011-06-29,10,clear,109.0,140.0,42.0,19.0,25,94,669
261,2011-07-18,15,clear,117.5,156.2,53.0,22.0,11,158,775
262,2011-10-02,23,clear,76.9,104.0,81.0,6.0,46,16,137
263,2011-01-02,19,clear,73.5,95.0,42.0,30.0,31,3,203
264,2011-06-29,13,clear,114.1,143.6,31.0,22.0,22,133,1302
265,2011-06-29,0,cloudy,103.9,136.4,79.0,19.0,30,33,180
266,2011-05-27,23,clear,95.5,125.6,88.0,9.0,26,68,727
267,2011-11-12,9,clear,71.8,96.8,61.0,11.0,3,53,998
268,2011-05-12,10,cloudy,92.1,122.0,68.0,15.0,17,83,833
269,2011-02-08,11,clear,65.0,82.4,47.0,31.0,48,1,343
270,2011-10-15,12,clear,95.5,125.6,35.0,37.0,13,584,1832
271,2011-06-20,6,light snow/rain,97.2,129.2,78.0,9.0,9,4,177
272,2011-10-07,14,clear,98.9,134.6,50.0,0.0,31,231,1251
273,2011-07-16,10,clear,107.3,140.0,54.0,13.0,5,341,1460
274,2011-10-02,16,light snow/rain,76.9,102.2,87.0,13.0,22,132,1134
275,2011-04-22,15,light snow/rain,75.2,100.4,87.0,13.0,26,38,432
276,2011-06-10,22,clear,107.3,143.6,74.0,17.0,4,122,1018
277,2011-10-09,9,clear,88.7,118.4,77.0,0.0,19,198,831
278,2011-08-15,19,clear,105.6,138.2,65.0,0.0,30,162,2405
279,2011-09-11,18,clear,103.9,136.4,65.0,20.0,8,330,1608
280,2011-11-20,18,cloudy,92.1,122.0,64.0,13.0,23,67,865
281,2011-07-08,6,clear,105.6,140.0,74.0,7.0,47,34,642
282,2011-08-21,11,clear,114.1,154.4,63.0,19.0,1,395,1270
283,2011-08-16,2,clear,98.9,131.0,73.0,15.0,28,2,24
284,2011-01-20,4,clear,68.4,91.4,56.0,11.0,8,-2,9
285,2011-08-24,9,clear,100.5,132.8,69.0,17.0,40,133,1186
286,2011-02-13,18,clear,80.2,109.4,32.0,20.0,29,51,544
287,2011-08-19,21,clear,98.9,129.2,83.0,9.0,21,56,624
288,2011-01-31,16,cloudy,59.9,82.4,56.0,13.0,49,7,586
289,2011-04-18,10,cloudy,90.4,120.2,55.0,7.0,8,121,474
290,2011-04-13,5,light snow/rain,78.5,107.6,94.0,17.0,21,2,31
291,2011-12-05,15,loudy,85.3,114.8,72.0,6.0,4,50,925
292,2011-01-11,1,clear,58.2,78.8,59.0,11.0,12,1,24
293,2011-04-24,10,clear,97.2,129.2,78.0,11.0,14,356,1199
294,2011-08-21,18,clear,107.3,143.6,79.0,17.0,5,290,1503
295,2011-10-24,19,light snow/rain,87.0,116.6,82.0,0.0,19,75,1485
296,2011-01-08,16,clear,61.6,77.0,29.0,30.0,7,26,480
297,2011-11-30,23,clear,70.1,91.4,52.0,19.0,14,14,324
298,2011-05-18,20,light snow/rain,93.8,123.8,88.0,9.0,11,74,1327
299,2011-10-19,2,cloudy,90.4,120.2,77.0,13.0,3,3,42
300,2011-02-21,10,cloudy,73.5,96.8,57.0,17.0,17,88,367
301,2011-05-22,4,clear,88.7,118.4,100.0,0.0,24,10,64
302,2011-05-31,14,clear,122.5,158.0,37.0,0.0,43,123,694
303,2011-07-23,7,clear,114.1,149.0,52.0,7.0,10,23,266
304,2011-11-29,15,light snow/rain,80.2,109.4,87.0,22.0,17,16,424
305,2011-11-16,8,light snow/rain,85.3,114.8,94.0,0.0,15,25,1562
306,2011-12-07,7,light snow/rain,83.6,113.0,100.0,7.0,41,10,301
307,2011-03-28,2,CLEAR,65.0,87.8,44.0,11.0,41,-1,36
308,2011-08-09,2,clear,107.3,141.8,70.0,0.0,43,26,24
309,2011-04-04,9,cloudy,88.7,118.4,51.0,26.0,33,73,936
310,2011-03-12,5,clear,65.0,87.8,69.0,13.0,18,2,12
311,2011-04-07,12,cloudy,85.3,114.8,55.0,0.0,46,117,803
312,2011-11-08,2,clear,73.5,102.2,87.0,0.0,4,-1,12
313,2011-08-30,1,CLEAR,93.8,123.8,68.0,7.0,18,16,50
314,2011-01-13,14,clear,65.0,84.2,41.0,26.0,42,8,275
315,2011-10-09,18,clear,100.5,134.6,50.0,7.0,43,557,1596
316,2011-12-03,7,clear,65.0,91.4,75.0,6.0,16,8,167
317,2011-06-01,17,clear,119.2,156.2,47.0,20.0,48,155,3038
318,2011-11-20,15,cloudy,90.4,120.2,68.0,13.0,31,328,1692
319,2011-04-20,5,clear,80.2,109.4,94.0,13.0,38,4,103
320,2011-07-11,2,clear,105.6,138.2,61.0,15.0,29,25,27
321,2011-01-21,15,clear,59.9,75.2,26.0,30.0,17,10,428
322,2011-12-16,13,cloudy,75.2,96.8,39.0,24.0,21,34,878
323,2011-08-19,20,light snow/rain,98.9,129.2,83.0,20.0,5,34,325
324,2011-05-01,16,cloudy,88.7,118.4,72.0,13.0,42,223,973
325,2011-02-07,17,cloudy,73.5,98.6,70.0,11.0,20,29,1448
326,2011-09-01,22,cloudy,102.2,134.6,57.0,15.0,13,102,1015
327,2011-05-26,19,clear,112.4,143.6,46.0,22.0,39,200,2180
328,2011-03-30,19,cloudy,68.4,91.4,93.0,15.0,43,15,471
329,2011-05-16,4,clear,88.7,118.4,100.0,9.0,32,3,39
330,2011-10-07,16,clear,100.5,134.6,44.0,0.0,40,220,2427
331,2011-12-08,20,clear,68.4,93.2,60.0,7.0,30,13,1195
332,2011-11-19,7,clear,66.7,87.8,60.0,17.0,33,7,271
333,2011-01-22,2,cloudy,49.8,64.4,41.0,17.0,15,2,79
334,2011-12-08,8,clear,65.0,86.0,55.0,19.0,42,32,2929
335,2011-09-13,8,clear,97.2,127.4,81.0,7.0,21,79,2798
336,2011-09-20,3,cloudy,92.1,122.0,83.0,15.0,7,-2,21
337,2011-09-30,4,clear,90.4,120.2,83.0,13.0,8,6,44
338,2011-07-11,1,clear,105.6,138.2,61.0,19.0,9,17,38
339,2011-12-15,8,cloudy,75.2,98.6,66.0,15.0,2,25,3147
340,2011-07-11,10,clear,114.1,150.8,55.0,24.0,3,133,514
341,2011-02-08,12,clear,66.7,84.2,38.0,33.0,39,8,440
342,2011-01-29,23,clear,59.9,84.2,80.0,6.0,49,11,208
343,2011-06-20,9,cloudy,97.2,129.2,78.0,17.0,25,59,1398
344,2011-05-26,13,clear,115.8,152.6,52.0,19.0,20,156,1014
345,2011-02-25,22,clear,68.4,86.0,48.0,30.0,43,22,299
346,2011-03-11,16,cludy,75.2,96.8,49.0,20.0,24,56,664
347,2011-03-15,15,cloudy,78.5,107.6,43.0,19.0,34,72,462
348,2011-11-28,11,cloudy,90.4,120.2,68.0,7.0,37,31,751
349,2011-09-10,13,clear,109.0,141.8,55.0,19.0,41,393,1674
350,2011-08-22,15,clear,109.0,138.2,30.0,20.0,8,217,891
351,2011-12-10,15,clear,75.2,96.8,34.0,24.0,1,182,1675
352,2011-03-14,5,clear,66.7,89.6,70.0,9.0,37,1,61
353,2011-08-17,0,clear,102.2,134.6,69.0,6.0,35,24,113
354,2011-02-26,19,clear,73.5,96.8,49.0,17.0,37,90,446
355,2011-02-05,2,cloudy,66.7,89.6,75.0,11.0,36,13,87
356,2011-08-06,18,cloudy,107.3,143.6,79.0,30.0,44,242,914
357,2011-06-05,18,clear,105.6,138.2,58.0,7.0,17,370,1674
358,2011-10-27,13,cloudy,88.7,118.4,88.0,11.0,18,31,451
359,2011-01-30,2,clear,59.9,87.8,80.0,0.0,9,3,72
360,2011-01-26,12,light snow/rain,65.0,84.2,93.0,22.0,10,20,290
361,2011-09-23,12,light snow/rain,98.9,125.6,94.0,7.0,17,5,200
362,2011-12-14,9,loudy,71.8,100.4,61.0,0.0,10,29,1613
363,2011-06-09,1,clear,109.0,145.4,79.0,7.0,29,7,91
364,2011-07-10,22,clear,109.0,143.6,66.0,15.0,8,166,609
365,2011-12-10,5,clear,68.4,91.4,60.0,11.0,32,-1,40
366,2011-11-13,23,clear,85.3,114.8,51.0,20.0,20,54,346
367,2011-09-12,23,clear,98.9,129.2,83.0,7.0,30,20,433
368,2011-02-19,15,clear,83.6,113.0,16.0,50.0,44,252,613
369,2011-11-25,22,clear,75.2,102.2,71.0,6.0,45,37,327
370,2011-01-03,11,CLEAR,63.3,82.4,40.0,22.0,5,30,291
371,2011-06-27,21,clear,105.6,138.2,65.0,0.0,19,155,1331
